country	country_short	emotion	answer_yes	answer_no	answer_unsure	year
Bulgaria	Bulgaria	pain	25	74	1	2022
Cambodia	Cambodia	pain	30	69	0	2022
Cameroon	Cameroon	pain	47	52	1	2022
Canada	Canada	pain	31	69	0	2022
Chad	Chad	pain	68	32	0	2022
Chile	Chile	pain	33	67	0	2022
Colombia	Colombia	pain	36	64	0	2022
Comoros	Comoros	pain	45	55	0	2022
Costa Rica	Costa Rica	pain	36	63	0	2022
Cote d'Ivoire	Cote d'Ivoire	pain	56	44	0	2022
Croatia	Croatia	pain	28	72	0	2022
Cyprus	Cyprus	pain	31	69	0	2022
Czech Republic	Czech Republic	pain	30	69	0	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	pain	53	47	0	2022
Denmark	Denmark	pain	28	72	0	2022
Dominican Republic	Dominican Republic	pain	38	61	0	2022
Ecuador	Ecuador	pain	38	62	0	2022
Egypt	Egypt	pain	45	55	0	2022
El Salvador	El Salvador	pain	39	60	0	2022
Estonia	Estonia	pain	20	80	0	2022
Eswatini	Eswatini	pain	39	61	0	2022
Ethiopia	Ethiopia	pain	31	69	0	2022
Finland	Finland	pain	26	74	0	2022
France	France	pain	32	68	0	2022
Gabon	Gabon	pain	45	55	0	2022
Gambia	Gambia	pain	53	47	0	2022
Georgia	Georgia	pain	34	66	0	2022
Germany	Germany	pain	30	70	0	2022
Ghana	Ghana	pain	38	62	0	2022
Greece	Greece	pain	23	77	0	2022
Guatemala	Guatemala	pain	35	65	0	2022
Guinea	Guinea	pain	55	45	0	2022
Honduras	Honduras	pain	34	66	0	2022
Hong Kong, S.A.R. of China	Hong Kong	pain	18	82	0	2022
Hungary	Hungary	pain	31	69	0	2022
Iceland	Iceland	pain	40	60	0	2022
India	India	pain	43	57	0	2022
Indonesia	Indonesia	pain	23	77	0	2022
Iran	Iran	pain	34	66	0	2022
Iraq	Iraq	pain	61	39	0	2022
Ireland	Ireland	pain	22	78	0	2022
Israel	Israel	pain	16	83	1	2022
Italy	Italy	pain	25	75	0	2022
Jamaica	Jamaica	pain	27	72	0	2022
Japan	Japan	pain	19	81	0	2022
Jordan	Jordan	pain	51	49	0	2022
Kazakhstan	Kazakhstan	pain	24	75	1	2022
Kenya	Kenya	pain	36	64	0	2022
Kosovo	Kosovo	pain	27	73	0	2022
Kuwait	Kuwait	pain	26	74	0	2022
Kyrgyzstan	Kyrgyzstan	pain	19	81	0	2022
Lao People's Democratic Republic	Laos	pain	40	60	0	2022
Latvia	Latvia	pain	20	80	0	2022
Lebanon	Lebanon	pain	44	56	0	2022
Lesotho	Lesotho	pain	39	60	0	2022
Liberia	Liberia	pain	55	45	0	2022
Libya	Libya	pain	48	52	0	2022
Lithuania	Lithuania	pain	17	81	2	2022
Luxembourg	Luxembourg	pain	33	67	0	2022
Madagascar	Madagascar	pain	45	55	0	2022
Malawi	Malawi	pain	39	61	0	2022
Malaysia	Malaysia	pain	24	76	0	2022
Mali	Mali	pain	37	63	0	2022
Malta	Malta	pain	31	69	0	2022
Mauritania	Mauritania	pain	55	43	1	2022
Mauritius	Mauritius	pain	33	66	1	2022
Mexico	Mexico	pain	27	73	0	2022
Moldova, Republic of	Moldova	pain	44	55	1	2022
Mongolia	Mongolia	pain	23	77	0	2022
Montenegro	Montenegro	pain	36	64	0	2022
Morocco	Morocco	pain	47	53	0	2022
Mozambique	Mozambique	pain	40	60	0	2022
Myanmar	Myanmar	pain	42	58	0	2022
Namibia	Namibia	pain	23	76	1	2022
Nepal	Nepal	pain	38	61	1	2022
Netherlands	Netherlands	pain	24	76	0	2022
New Zealand	New Zealand	pain	23	77	0	2022
Nicaragua	Nicaragua	pain	39	61	0	2022
Niger	Niger	pain	51	48	1	2022
Nigeria	Nigeria	pain	32	67	1	2022
North Macedonia	North Macedonia	pain	35	64	1	2022
Northern Cyprus	Northern Cyprus	pain	27	72	1	2022
Norway	Norway	pain	25	75	0	2022
Pakistan	Pakistan	pain	48	51	0	2022
Palestinian Territories	Palestine	pain	47	53	0	2022
Panama	Panama	pain	28	72	0	2022
Paraguay	Paraguay	pain	33	66	0	2022
Peru	Peru	pain	39	61	0	2022
Philippines	Philippines	pain	20	80	0	2022
Poland	Poland	pain	12	88	0	2022
Portugal	Portugal	pain	41	58	0	2022
Puerto Rico	Puerto Rico	pain	43	57	0	2022
Republic of the Congo	Republic of the Congo	pain	47	53	0	2022
Romania	Romania	pain	35	65	0	2022
Russian Federation	Russia	pain	26	74	0	2022
Saudi Arabia	Saudi Arabia	pain	25	75	0	2022
Senegal	Senegal	pain	52	48	0	2022
Serbia	Serbia	pain	31	68	1	2022
Sierra Leone	Sierra Leone	pain	77	23	0	2022
Singapore	Singapore	pain	21	78	0	2022
Slovakia	Slovakia	pain	26	73	0	2022
Slovenia	Slovenia	pain	23	77	0	2022
South Africa	South Africa	pain	25	75	0	2022
South Korea	South Korea	pain	27	73	0	2022
Spain	Spain	pain	29	71	0	2022
Sri Lanka	Sri Lanka	pain	42	57	0	2022
Sweden	Sweden	pain	17	83	0	2022
Switzerland	Switzerland	pain	27	73	0	2022
Taiwan, Republic of China	Taiwan	pain	14	86	0	2022
Tajikistan	Tajikistan	pain	30	70	0	2022
Tanzania	Tanzania	pain	39	61	0	2022
Thailand	Thailand	pain	39	60	0	2022
Togo	Togo	pain	51	49	0	2022
Tunisia	Tunisia	pain	43	57	0	2022
Türkiye	Turkey	pain	22	78	0	2022
Uganda	Uganda	pain	48	52	0	2022
Ukraine	Ukraine	pain	34	65	1	2022
United Arab Emirates	United Arab Emirates	pain	26	74	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	pain	28	72	0	2022
United States of America	USA	pain	30	70	0	2022
Uruguay	Uruguay	pain	37	63	0	2022
Uzbekistan	Uzbekistan	pain	30	70	0	2022
Venezuela	Venezuela	pain	33	66	0	2022
Vietnam	Vietnam	pain	8	91	0	2022
Yemen	Yemen	pain	37	63	0	2022
Zambia	Zambia	pain	39	61	0	2022
Zimbabwe	Zimbabwe	pain	31	69	0	2022
Afghanistan	Afghanistan	enjoyment	24	74	2	2022
Albania	Albania	enjoyment	64	35	1	2022
Algeria	Algeria	enjoyment	60	38	2	2022
Argentina	Argentina	enjoyment	80	19	0	2022
Armenia	Armenia	enjoyment	56	43	1	2022
Australia	Australia	enjoyment	77	23	0	2022
Austria	Austria	enjoyment	79	21	0	2022
Azerbaijan	Azerbaijan	enjoyment	50	46	4	2022
Bangladesh	Bangladesh	enjoyment	55	44	1	2022
Belgium	Belgium	enjoyment	77	22	2	2022
Benin	Benin	enjoyment	48	51	1	2022
Bolivia	Bolivia	enjoyment	78	21	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	enjoyment	62	37	2	2022
Botswana	Botswana	enjoyment	62	38	0	2022
Brazil	Brazil	enjoyment	71	28	1	2022
Bulgaria	Bulgaria	enjoyment	62	34	4	2022
Cambodia	Cambodia	enjoyment	84	15	0	2022
Cameroon	Cameroon	enjoyment	50	48	2	2022
Canada	Canada	enjoyment	81	19	0	2022
Chad	Chad	enjoyment	57	42	0	2022
Chile	Chile	enjoyment	85	14	1	2022
Colombia	Colombia	enjoyment	77	22	1	2022
Comoros	Comoros	enjoyment	65	34	0	2022
Costa Rica	Costa Rica	enjoyment	83	16	1	2022
Cote d'Ivoire	Cote d'Ivoire	enjoyment	57	42	0	2022
Croatia	Croatia	enjoyment	59	40	1	2022
Cyprus	Cyprus	enjoyment	75	25	0	2022
Czech Republic	Czech Republic	enjoyment	82	17	1	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	enjoyment	54	45	1	2022
Denmark	Denmark	enjoyment	90	10	0	2022
Dominican Republic	Dominican Republic	enjoyment	69	30	1	2022
Ecuador	Ecuador	enjoyment	80	20	1	2022
Egypt	Egypt	enjoyment	43	57	0	2022
El Salvador	El Salvador	enjoyment	81	18	1	2022
Estonia	Estonia	enjoyment	84	15	2	2022
Eswatini	Eswatini	enjoyment	70	30	1	2022
Ethiopia	Ethiopia	enjoyment	65	35	1	2022
Finland	Finland	enjoyment	74	25	0	2022
France	France	enjoyment	74	25	0	2022
Gabon	Gabon	enjoyment	56	43	1	2022
Gambia	Gambia	enjoyment	71	28	1	2022
Georgia	Georgia	enjoyment	60	39	1	2022
Germany	Germany	enjoyment	70	29	1	2022
Ghana	Ghana	enjoyment	48	52	1	2022
Greece	Greece	enjoyment	68	32	1	2022
Guatemala	Guatemala	enjoyment	87	13	0	2022
Guinea	Guinea	enjoyment	65	34	1	2022
Honduras	Honduras	enjoyment	83	16	1	2022
Hong Kong, S.A.R. of China	Hong Kong	enjoyment	61	39	0	2022
Hungary	Hungary	enjoyment	75	24	1	2022
Iceland	Iceland	enjoyment	88	11	1	2022
India	India	enjoyment	69	31	0	2022
Indonesia	Indonesia	enjoyment	86	14	0	2022
Iran	Iran	enjoyment	58	42	0	2022
Iraq	Iraq	enjoyment	58	42	0	2022
Ireland	Ireland	enjoyment	89	11	0	2022
Israel	Israel	enjoyment	62	37	1	2022
Italy	Italy	enjoyment	66	34	0	2022
Jamaica	Jamaica	enjoyment	69	31	1	2022
Japan	Japan	enjoyment	67	32	1	2022
Jordan	Jordan	enjoyment	53	47	0	2022
Kazakhstan	Kazakhstan	enjoyment	70	26	4	2022
Kenya	Kenya	enjoyment	72	28	0	2022
Kosovo	Kosovo	enjoyment	67	31	1	2022
Kuwait	Kuwait	enjoyment	79	21	0	2022
Kyrgyzstan	Kyrgyzstan	enjoyment	76	23	1	2022
Lao People's Democratic Republic	Laos	enjoyment	78	22	0	2022
Latvia	Latvia	enjoyment	72	26	2	2022
Lebanon	Lebanon	enjoyment	33	66	1	2022
Lesotho	Lesotho	enjoyment	69	30	0	2022
Liberia	Liberia	enjoyment	46	54	0	2022
Libya	Libya	enjoyment	67	33	0	2022
Lithuania	Lithuania	enjoyment	50	43	8	2022
Luxembourg	Luxembourg	enjoyment	80	20	0	2022
Madagascar	Madagascar	enjoyment	62	37	1	2022
Malawi	Malawi	enjoyment	51	49	0	2022
Malaysia	Malaysia	enjoyment	86	12	2	2022
Mali	Mali	enjoyment	77	23	0	2022
Malta	Malta	enjoyment	65	35	0	2022
Mauritania	Mauritania	enjoyment	59	41	1	2022
Mauritius	Mauritius	enjoyment	71	28	1	2022
Mexico	Mexico	enjoyment	87	12	1	2022
Moldova, Republic of	Moldova	enjoyment	60	39	1	2022
Mongolia	Mongolia	enjoyment	72	28	0	2022
Montenegro	Montenegro	enjoyment	56	43	1	2022
Morocco	Morocco	enjoyment	49	46	5	2022
Mozambique	Mozambique	enjoyment	49	44	7	2022
Myanmar	Myanmar	enjoyment	74	26	0	2022
Namibia	Namibia	enjoyment	60	39	1	2022
Nepal	Nepal	enjoyment	65	35	0	2022
Netherlands	Netherlands	enjoyment	85	15	0	2022
New Zealand	New Zealand	enjoyment	77	23	0	2022
Nicaragua	Nicaragua	enjoyment	80	19	0	2022
Niger	Niger	enjoyment	76	23	2	2022
Nigeria	Nigeria	enjoyment	63	37	0	2022
North Macedonia	North Macedonia	enjoyment	64	35	1	2022
Northern Cyprus	Northern Cyprus	enjoyment	50	49	1	2022
Norway	Norway	enjoyment	84	16	0	2022
Pakistan	Pakistan	enjoyment	54	45	0	2022
Palestinian Territories	Palestine	enjoyment	62	37	1	2022
Panama	Panama	enjoyment	83	16	1	2022
Paraguay	Paraguay	enjoyment	89	11	0	2022
Peru	Peru	enjoyment	76	23	1	2022
Philippines	Philippines	enjoyment	84	16	0	2022
Poland	Poland	enjoyment	72	25	3	2022
Portugal	Portugal	enjoyment	63	37	0	2022
Puerto Rico	Puerto Rico	enjoyment	84	15	1	2022
Republic of the Congo	Republic of the Congo	enjoyment	55	43	2	2022
Romania	Romania	enjoyment	74	25	1	2022
Russian Federation	Russia	enjoyment	69	28	3	2022
Saudi Arabia	Saudi Arabia	enjoyment	69	30	1	2022
Senegal	Senegal	enjoyment	77	23	1	2022
Serbia	Serbia	enjoyment	59	38	3	2022
Sierra Leone	Sierra Leone	enjoyment	32	67	1	2022
Singapore	Singapore	enjoyment	75	24	1	2022
Slovakia	Slovakia	enjoyment	78	20	2	2022
Slovenia	Slovenia	enjoyment	62	36	2	2022
South Africa	South Africa	enjoyment	79	20	0	2022
South Korea	South Korea	enjoyment	64	35	1	2022
Spain	Spain	enjoyment	57	41	2	2022
Sri Lanka	Sri Lanka	enjoyment	67	33	0	2022
Sweden	Sweden	enjoyment	79	21	0	2022
Switzerland	Switzerland	enjoyment	79	21	0	2022
Taiwan, Republic of China	Taiwan	enjoyment	83	16	1	2022
Tajikistan	Tajikistan	enjoyment	74	24	2	2022
Tanzania	Tanzania	enjoyment	68	31	0	2022
Thailand	Thailand	enjoyment	80	19	1	2022
Togo	Togo	enjoyment	52	46	2	2022
Tunisia	Tunisia	enjoyment	45	55	1	2022
Türkiye	Turkey	enjoyment	34	64	2	2022
Uganda	Uganda	enjoyment	61	39	0	2022
Ukraine	Ukraine	enjoyment	57	43	1	2022
United Arab Emirates	United Arab Emirates	enjoyment	75	25	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	enjoyment	83	17	0	2022
United States of America	USA	enjoyment	78	22	0	2022
Uruguay	Uruguay	enjoyment	86	13	1	2022
Uzbekistan	Uzbekistan	enjoyment	86	13	1	2022
Venezuela	Venezuela	enjoyment	75	25	0	2022
Vietnam	Vietnam	enjoyment	79	21	0	2022
Yemen	Yemen	enjoyment	51	48	1	2022
Zambia	Zambia	enjoyment	67	33	0	2022
Zimbabwe	Zimbabwe	enjoyment	59	41	0	2022
Afghanistan	Afghanistan	rested	35	65	1	2022
Albania	Albania	rested	60	40	1	2022
Algeria	Algeria	rested	68	31	1	2022
Argentina	Argentina	rested	76	23	0	2022
Armenia	Armenia	rested	45	54	1	2022
Australia	Australia	rested	66	34	0	2022
Austria	Austria	rested	82	18	0	2022
Azerbaijan	Azerbaijan	rested	55	44	1	2022
Bangladesh	Bangladesh	rested	59	41	1	2022
Belgium	Belgium	rested	64	34	1	2022
Benin	Benin	rested	55	45	0	2022
Bolivia	Bolivia	rested	71	28	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	rested	57	43	0	2022
Botswana	Botswana	rested	71	29	0	2022
Brazil	Brazil	rested	64	35	0	2022
Bulgaria	Bulgaria	rested	64	35	1	2022
Cambodia	Cambodia	rested	68	32	0	2022
Cameroon	Cameroon	rested	66	34	0	2022
Canada	Canada	rested	68	32	0	2022
Chad	Chad	rested	68	32	1	2022
Chile	Chile	rested	73	26	1	2022
Colombia	Colombia	rested	74	26	0	2022
Comoros	Comoros	rested	65	35	1	2022
Costa Rica	Costa Rica	rested	76	23	1	2022
Cote d'Ivoire	Cote d'Ivoire	rested	66	34	0	2022
Croatia	Croatia	rested	70	29	1	2022
Cyprus	Cyprus	rested	55	45	0	2022
Czech Republic	Czech Republic	rested	54	43	2	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	rested	61	39	0	2022
Denmark	Denmark	rested	68	32	1	2022
Dominican Republic	Dominican Republic	rested	72	28	0	2022
Ecuador	Ecuador	rested	74	24	2	2022
Egypt	Egypt	rested	58	42	0	2022
El Salvador	El Salvador	rested	77	23	1	2022
Estonia	Estonia	rested	67	32	1	2022
Eswatini	Eswatini	rested	68	31	1	2022
Ethiopia	Ethiopia	rested	53	47	0	2022
Finland	Finland	rested	65	35	0	2022
France	France	rested	68	32	1	2022
Gabon	Gabon	rested	68	32	0	2022
Gambia	Gambia	rested	64	36	0	2022
Georgia	Georgia	rested	58	42	0	2022
Germany	Germany	rested	67	32	0	2022
Ghana	Ghana	rested	70	30	0	2022
Greece	Greece	rested	60	40	0	2022
Guatemala	Guatemala	rested	78	22	0	2022
Guinea	Guinea	rested	75	25	0	2022
Honduras	Honduras	rested	74	26	0	2022
Hong Kong, S.A.R. of China	Hong Kong	rested	76	24	0	2022
Hungary	Hungary	rested	51	49	0	2022
Iceland	Iceland	rested	61	38	1	2022
India	India	rested	66	34	0	2022
Indonesia	Indonesia	rested	86	14	0	2022
Iran	Iran	rested	67	33	0	2022
Iraq	Iraq	rested	56	44	0	2022
Ireland	Ireland	rested	77	23	0	2022
Israel	Israel	rested	62	38	0	2022
Italy	Italy	rested	65	35	0	2022
Jamaica	Jamaica	rested	64	35	0	2022
Japan	Japan	rested	80	20	0	2022
Jordan	Jordan	rested	49	51	0	2022
Kazakhstan	Kazakhstan	rested	73	25	2	2022
Kenya	Kenya	rested	70	30	0	2022
Kosovo	Kosovo	rested	65	35	1	2022
Kuwait	Kuwait	rested	89	11	0	2022
Kyrgyzstan	Kyrgyzstan	rested	77	22	1	2022
Lao People's Democratic Republic	Laos	rested	73	27	0	2022
Latvia	Latvia	rested	61	38	1	2022
Lebanon	Lebanon	rested	51	48	0	2022
Lesotho	Lesotho	rested	57	43	0	2022
Liberia	Liberia	rested	60	40	0	2022
Libya	Libya	rested	65	35	1	2022
Lithuania	Lithuania	rested	67	28	5	2022
Luxembourg	Luxembourg	rested	69	31	0	2022
Madagascar	Madagascar	rested	65	35	1	2022
Malawi	Malawi	rested	73	27	0	2022
Malaysia	Malaysia	rested	93	7	0	2022
Mali	Mali	rested	69	31	0	2022
Malta	Malta	rested	73	26	1	2022
Mauritania	Mauritania	rested	62	37	0	2022
Mauritius	Mauritius	rested	72	27	1	2022
Mexico	Mexico	rested	82	18	0	2022
Moldova, Republic of	Moldova	rested	59	40	1	2022
Mongolia	Mongolia	rested	86	14	0	2022
Montenegro	Montenegro	rested	56	43	1	2022
Morocco	Morocco	rested	63	37	0	2022
Mozambique	Mozambique	rested	76	24	0	2022
Myanmar	Myanmar	rested	65	35	0	2022
Namibia	Namibia	rested	71	28	1	2022
Nepal	Nepal	rested	73	27	0	2022
Netherlands	Netherlands	rested	67	32	0	2022
New Zealand	New Zealand	rested	67	32	0	2022
Nicaragua	Nicaragua	rested	77	22	1	2022
Niger	Niger	rested	63	36	2	2022
Nigeria	Nigeria	rested	75	25	0	2022
North Macedonia	North Macedonia	rested	60	40	1	2022
Northern Cyprus	Northern Cyprus	rested	56	43	0	2022
Norway	Norway	rested	63	36	0	2022
Pakistan	Pakistan	rested	58	42	0	2022
Palestinian Territories	Palestine	rested	60	40	0	2022
Panama	Panama	rested	81	19	0	2022
Paraguay	Paraguay	rested	86	14	0	2022
Peru	Peru	rested	69	31	1	2022
Philippines	Philippines	rested	77	23	0	2022
Poland	Poland	rested	67	32	1	2022
Portugal	Portugal	rested	75	25	0	2022
Puerto Rico	Puerto Rico	rested	71	28	1	2022
Republic of the Congo	Republic of the Congo	rested	70	30	0	2022
Romania	Romania	rested	64	36	0	2022
Russian Federation	Russia	rested	65	34	1	2022
Saudi Arabia	Saudi Arabia	rested	85	15	0	2022
Senegal	Senegal	rested	69	30	0	2022
Serbia	Serbia	rested	55	43	2	2022
Sierra Leone	Sierra Leone	rested	55	45	0	2022
Singapore	Singapore	rested	77	22	1	2022
Slovakia	Slovakia	rested	72	27	0	2022
Slovenia	Slovenia	rested	74	25	1	2022
South Africa	South Africa	rested	78	21	0	2022
South Korea	South Korea	rested	76	24	0	2022
Spain	Spain	rested	73	27	0	2022
Sri Lanka	Sri Lanka	rested	60	40	0	2022
Sweden	Sweden	rested	63	37	0	2022
Switzerland	Switzerland	rested	74	26	0	2022
Taiwan, Republic of China	Taiwan	rested	81	19	0	2022
Tajikistan	Tajikistan	rested	86	13	1	2022
Tanzania	Tanzania	rested	73	27	0	2022
Thailand	Thailand	rested	79	21	0	2022
Togo	Togo	rested	59	41	0	2022
Tunisia	Tunisia	rested	59	41	0	2022
Türkiye	Turkey	rested	56	43	1	2022
Uganda	Uganda	rested	68	32	0	2022
Ukraine	Ukraine	rested	47	52	1	2022
United Arab Emirates	United Arab Emirates	rested	81	19	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	rested	71	29	0	2022
United States of America	USA	rested	66	34	0	2022
Uruguay	Uruguay	rested	74	26	0	2022
Uzbekistan	Uzbekistan	rested	84	16	1	2022
Venezuela	Venezuela	rested	76	24	0	2022
Vietnam	Vietnam	rested	94	6	0	2022
Yemen	Yemen	rested	58	42	0	2022
Zambia	Zambia	rested	70	30	0	2022
Zimbabwe	Zimbabwe	rested	67	33	0	2022
Afghanistan	Afghanistan	learned	15	84	2	2022
Albania	Albania	learned	29	71	0	2022
Algeria	Algeria	learned	43	56	1	2022
Argentina	Argentina	learned	52	48	0	2022
Armenia	Armenia	learned	42	56	1	2022
Australia	Australia	learned	61	39	0	2022
Austria	Austria	learned	62	38	0	2022
Azerbaijan	Azerbaijan	learned	37	60	3	2022
Bangladesh	Bangladesh	learned	15	84	1	2022
Belgium	Belgium	learned	61	38	1	2022
Benin	Benin	learned	52	48	0	2022
Bolivia	Bolivia	learned	64	36	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	learned	39	60	1	2022
Botswana	Botswana	learned	48	51	0	2022
Brazil	Brazil	learned	57	43	0	2022
Bulgaria	Bulgaria	learned	42	57	1	2022
Cambodia	Cambodia	learned	55	45	0	2022
Cameroon	Cameroon	learned	57	43	0	2022
Canada	Canada	learned	59	40	0	2022
Chad	Chad	learned	54	45	1	2022
Chile	Chile	learned	61	39	0	2022
Colombia	Colombia	learned	68	31	0	2022
Comoros	Comoros	learned	45	52	3	2022
Costa Rica	Costa Rica	learned	66	33	1	2022
Cote d'Ivoire	Cote d'Ivoire	learned	58	42	0	2022
Croatia	Croatia	learned	43	57	0	2022
Cyprus	Cyprus	learned	48	52	0	2022
Czech Republic	Czech Republic	learned	54	44	2	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	learned	49	49	2	2022
Denmark	Denmark	learned	70	29	0	2022
Dominican Republic	Dominican Republic	learned	65	33	2	2022
Ecuador	Ecuador	learned	65	34	1	2022
Egypt	Egypt	learned	33	67	0	2022
El Salvador	El Salvador	learned	72	26	1	2022
Estonia	Estonia	learned	65	33	1	2022
Eswatini	Eswatini	learned	51	47	2	2022
Ethiopia	Ethiopia	learned	37	62	1	2022
Finland	Finland	learned	71	29	1	2022
France	France	learned	61	39	0	2022
Gabon	Gabon	learned	62	38	1	2022
Gambia	Gambia	learned	59	40	1	2022
Georgia	Georgia	learned	27	73	0	2022
Germany	Germany	learned	57	41	2	2022
Ghana	Ghana	learned	55	44	1	2022
Greece	Greece	learned	38	61	0	2022
Guatemala	Guatemala	learned	72	27	1	2022
Guinea	Guinea	learned	67	32	1	2022
Honduras	Honduras	learned	63	36	1	2022
Hong Kong, S.A.R. of China	Hong Kong	learned	39	61	0	2022
Hungary	Hungary	learned	47	53	0	2022
Iceland	Iceland	learned	57	42	1	2022
India	India	learned	40	60	0	2022
Indonesia	Indonesia	learned	68	32	0	2022
Iran	Iran	learned	38	62	0	2022
Iraq	Iraq	learned	47	53	0	2022
Ireland	Ireland	learned	58	42	0	2022
Israel	Israel	learned	53	47	0	2022
Italy	Italy	learned	52	48	0	2022
Jamaica	Jamaica	learned	67	32	0	2022
Japan	Japan	learned	55	44	1	2022
Jordan	Jordan	learned	39	61	0	2022
Kazakhstan	Kazakhstan	learned	49	49	3	2022
Kenya	Kenya	learned	68	32	0	2022
Kosovo	Kosovo	learned	26	73	1	2022
Kuwait	Kuwait	learned	59	40	0	2022
Kyrgyzstan	Kyrgyzstan	learned	34	64	2	2022
Lao People's Democratic Republic	Laos	learned	39	59	2	2022
Latvia	Latvia	learned	50	49	1	2022
Lebanon	Lebanon	learned	20	80	0	2022
Lesotho	Lesotho	learned	67	33	0	2022
Liberia	Liberia	learned	69	31	0	2022
Libya	Libya	learned	51	49	0	2022
Lithuania	Lithuania	learned	34	55	11	2022
Luxembourg	Luxembourg	learned	62	38	0	2022
Madagascar	Madagascar	learned	63	36	1	2022
Malawi	Malawi	learned	47	53	0	2022
Malaysia	Malaysia	learned	53	44	3	2022
Mali	Mali	learned	45	55	0	2022
Malta	Malta	learned	56	43	1	2022
Mauritania	Mauritania	learned	59	40	1	2022
Mauritius	Mauritius	learned	60	38	2	2022
Mexico	Mexico	learned	70	30	0	2022
Moldova, Republic of	Moldova	learned	52	47	0	2022
Mongolia	Mongolia	learned	26	74	0	2022
Montenegro	Montenegro	learned	40	57	2	2022
Morocco	Morocco	learned	49	50	1	2022
Mozambique	Mozambique	learned	59	39	2	2022
Myanmar	Myanmar	learned	46	54	0	2022
Namibia	Namibia	learned	57	43	0	2022
Nepal	Nepal	learned	28	71	1	2022
Netherlands	Netherlands	learned	49	51	0	2022
New Zealand	New Zealand	learned	62	38	0	2022
Nicaragua	Nicaragua	learned	69	30	1	2022
Niger	Niger	learned	72	26	2	2022
Nigeria	Nigeria	learned	76	23	1	2022
North Macedonia	North Macedonia	learned	40	58	2	2022
Northern Cyprus	Northern Cyprus	learned	24	75	1	2022
Norway	Norway	learned	67	33	0	2022
Pakistan	Pakistan	learned	25	75	0	2022
Palestinian Territories	Palestine	learned	45	55	1	2022
Panama	Panama	learned	73	26	0	2022
Paraguay	Paraguay	learned	70	28	2	2022
Peru	Peru	learned	69	30	0	2022
Philippines	Philippines	learned	75	24	1	2022
Poland	Poland	learned	33	65	2	2022
Portugal	Portugal	learned	52	47	1	2022
Puerto Rico	Puerto Rico	learned	63	37	0	2022
Republic of the Congo	Republic of the Congo	learned	52	47	2	2022
Romania	Romania	learned	40	58	2	2022
Russian Federation	Russia	learned	47	52	2	2022
Saudi Arabia	Saudi Arabia	learned	58	41	1	2022
Senegal	Senegal	learned	77	22	2	2022
Serbia	Serbia	learned	43	54	3	2022
Sierra Leone	Sierra Leone	learned	50	49	1	2022
Singapore	Singapore	learned	54	46	0	2022
Slovakia	Slovakia	learned	48	50	2	2022
Slovenia	Slovenia	learned	52	47	1	2022
South Africa	South Africa	learned	59	40	1	2022
South Korea	South Korea	learned	41	59	0	2022
Spain	Spain	learned	59	41	0	2022
Sri Lanka	Sri Lanka	learned	64	36	0	2022
Sweden	Sweden	learned	67	33	0	2022
Switzerland	Switzerland	learned	64	36	0	2022
Taiwan, Republic of China	Taiwan	learned	49	50	0	2022
Tajikistan	Tajikistan	learned	54	45	2	2022
Tanzania	Tanzania	learned	65	35	1	2022
Thailand	Thailand	learned	67	33	1	2022
Togo	Togo	learned	53	44	3	2022
Tunisia	Tunisia	learned	26	73	0	2022
Türkiye	Turkey	learned	16	83	1	2022
Uganda	Uganda	learned	70	30	0	2022
Ukraine	Ukraine	learned	46	54	1	2022
United Arab Emirates	United Arab Emirates	learned	62	38	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	learned	61	39	0	2022
United States of America	USA	learned	59	41	0	2022
Uruguay	Uruguay	learned	57	42	1	2022
Uzbekistan	Uzbekistan	learned	58	41	1	2022
Venezuela	Venezuela	learned	67	33	0	2022
Vietnam	Vietnam	learned	58	42	0	2022
Yemen	Yemen	learned	29	70	1	2022
Zambia	Zambia	learned	50	50	1	2022
Zimbabwe	Zimbabwe	learned	53	47	0	2022
Afghanistan	Afghanistan	smiled	23	76	1	2022
Albania	Albania	smiled	71	28	0	2022
Algeria	Algeria	smiled	68	30	2	2022
Argentina	Argentina	smiled	84	15	1	2022
Armenia	Armenia	smiled	58	40	2	2022
Australia	Australia	smiled	75	25	0	2022
Austria	Austria	smiled	74	25	0	2022
Azerbaijan	Azerbaijan	smiled	67	28	5	2022
Bangladesh	Bangladesh	smiled	46	52	2	2022
Belgium	Belgium	smiled	74	24	2	2022
Benin	Benin	smiled	71	29	0	2022
Bolivia	Bolivia	smiled	78	22	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	smiled	59	39	2	2022
Botswana	Botswana	smiled	76	24	0	2022
Brazil	Brazil	smiled	74	26	0	2022
Bulgaria	Bulgaria	smiled	63	33	4	2022
Cambodia	Cambodia	smiled	87	13	0	2022
Cameroon	Cameroon	smiled	67	32	1	2022
