number	organism name	kingdom	phylum	class	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA
679	Kaupichthys hyoproroides	Metazoa	Chordata	Actinopteri	GBAM.gz	GBAM01000001-GBAM01059169	59169	31501351	TSA	2014-03-25	2015-05-04	PRJNA192511	SAMN01939348	SRR798112
680	Maylandia zebra	Metazoa	Chordata	Actinopteri	GBAN.gz	GBAN01000001-GBAN01060323	60323	68387423	TSA	2013-08-01	2014-03-27	PRJNA77743	SAMN00760996	SRR385845
681	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBAO.gz	GBAO01000001-GBAO01081388	81388	82982590	TSA	2013-08-01	2014-03-27	PRJNA78915	SAMN00767858	SRR391687
682	Maylandia zebra	Metazoa	Chordata	Actinopteri	GBAP.gz	GBAP01000001-GBAP01082770	82770	83758187	TSA	2013-08-01	2014-03-27	PRJNA77743	SAMN00760990	SRR385832
683	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBAQ.gz	GBAQ01000001-GBAQ01093860	93860	60422963	TSA	2013-08-01	2014-03-27	PRJNA77701	SAMN00760987	SRR385796
684	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBAR.gz	GBAR01000001-GBAR01109068	109068	117665969	TSA	2013-08-01	2014-03-29	PRJNA78915	SAMN00767854	SRR391681
685	Telchin licus	Metazoa	Arthropoda	Insecta	GBAS.gz	GBAS01000001-GBAS01023824	23824	14954575	TSA	2014-03-26	2015-05-04	PRJNA241452	SAMN02689937	SRR1204999
686	Ictalurus punctatus	Metazoa	Chordata	Actinopteri	GBAT.gz	GBAT01000001-GBAT01000001	1	1804	TSA	2014-03-25	2014-04-03	PRJNA184724	SAMN01860354	SRR641290
687	Agropyron cristatum	Viridiplantae	Streptophyta	Liliopsida	GBAU.gz	GBAU01000001-GBAU01073664	73664	32191448	TSA	2014-03-27	2015-09-30	PRJNA242625	SAMN02699422	SRR1204596
688	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBAV.gz	GBAV01000001-GBAV01150261	150261	115032909	TSA	2013-08-01	2014-03-29	PRJNA77701	SAMN00760986	SRR385794
689	Haplochromis burtoni	Metazoa	Chordata	Actinopteri	GBAW.gz	GBAW01000001-GBAW01142299	142299	159293097	TSA	2013-08-01	2014-03-28	PRJNA78185	SAMN00761599	SRR387468
690	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBAX.gz	GBAX01000001-GBAX01160169	160169	146563035	TSA	2013-08-01	2014-03-28	PRJNA78323	SAMN00013651	SRR388298
691	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBAY.gz	GBAY01000001-GBAY01153665	153665	179130504	TSA	2013-08-01	2014-03-28	PRJNA78915	SAMN00767853	SRR391680
692	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBAZ.gz	GBAZ01000001-GBAZ01164571	164571	179607700	TSA	2013-08-01	2014-03-31	PRJNA78915	SAMN00767860	SRR391690
693	Saccharina latissima	None	Phaeophyceae	None	GBBA.gz	GBBA01000001-GBBA01027091	27091	17309681	TSA	2014-03-27	2014-04-03	PRJNA80101	SAMN00631778	SRR305166
694	Zonotrichia albicollis	Metazoa	Chordata	Aves	GBBB.gz	GBBB01000001-GBBB01266070	266070	348692723	TSA	2014-03-28	2015-04-29	PRJNA231930	SAMN02358168	SRR1200893
695	Zonotrichia albicollis	Metazoa	Chordata	Aves	GBBC.gz	GBBC01000001-GBBC01313060	313060	334636954	TSA	2014-03-28	2015-04-29	PRJNA231930	SAMN02358169	SRR1200895
696	Zonotrichia albicollis	Metazoa	Chordata	Aves	GBBD.gz	GBBD01000001-GBBD01249924	249924	314317660	TSA	2014-03-28	2015-04-29	PRJNA231930	SAMN02358172	SRR1200894
697	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBBE.gz	GBBE01000001-GBBE01123324	123324	108391569	TSA	2013-08-01	2014-04-01	PRJNA77701	SAMN00760988	SRR385799
698	Haplochromis burtoni	Metazoa	Chordata	Actinopteri	GBBF.gz	GBBF01000001-GBBF01145732	145732	159943334	TSA	2013-08-01	2014-04-01	PRJNA78185	SAMN00761597	SRR387463
699	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBBG.gz	GBBG01000001-GBBG01127253	127253	106953572	TSA	2013-08-01	2014-04-01	PRJNA77701	SAMN00760982	SRR385789
700	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBBH.gz	GBBH01000001-GBBH01230216	230216	254803970	TSA	2013-08-02	2014-04-02	PRJNA78823	SAMN00991504	SRR494726
701	Triatoma infestans	Metazoa	Arthropoda	Insecta	GBBI.gz	GBBI01000001-GBBI01005114	5114	7956159	TSA	2014-03-27	2014-04-03	PRJNA238208	SAMN02641822	SRR1168882
702	Haplochromis burtoni	Metazoa	Chordata	Actinopteri	GBBJ.gz	GBBJ01000001-GBBJ01089229	89229	105079358	TSA	2013-08-01	2014-04-02	PRJNA78185	SAMN00765505	SRR442681
703	Amblyomma cajennense	Metazoa	Arthropoda	Arachnida	GBBK.gz	GBBK01000001-GBBK01005770	5770	4584808	TSA	2014-03-28	2014-04-03	PRJNA241272	SAMN02693295	SRR1201285
704	Amblyomma parvum	Metazoa	Arthropoda	Arachnida	GBBL.gz	GBBL01000001-GBBL01002838	2838	2349067	TSA	2014-03-27	2014-04-03	PRJNA241271	SAMN02693296	SRR1201264
705	Amblyomma triste	Metazoa	Arthropoda	Arachnida	GBBM.gz	GBBM01000001-GBBM01008098	8098	7390261	TSA	2014-03-28	2014-04-03	PRJNA241269	SAMN02711365	SRR1201291
706	Ixodes scapularis	Metazoa	Arthropoda	Arachnida	GBBN.gz	GBBN01000001-GBBN01028992	28992	18851137	TSA	2014-03-30	2014-04-03	PRJNA230499	SAMN02678957	SRR1207299
707	Rhipicephalus microplus	Metazoa	Arthropoda	Arachnida	GBBO.gz	GBBO01000001-GBBO01000066	66	67435	TSA	2014-04-01	2014-05-05	PRJNA232001	SAMN02463642	SRR1186998
708	Teleopsis dalmanni	Metazoa	Arthropoda	Insecta	GBBP.gz	GBBP01000001-GBBP01194857	194857	180339094	TSA	2014-03-31	2014-04-21	PRJNA240197	SAMN02672503	SRR1183597
709	Teleopsis whitei	Metazoa	Arthropoda	Insecta	GBBQ.gz	GBBQ01000001-GBBQ01060498	60498	65103567	TSA	2014-04-01	2014-04-28	PRJNA241109	SAMN02688130	SRR1188177
710	Rhipicephalus microplus	Metazoa	Arthropoda	Arachnida	GBBR.gz	GBBR01000001-GBBR01000110	110	87000	TSA	2014-04-01	2014-05-05	PRJNA232001	SAMN02463642	SRR1186998
711	Anolis carolinensis	Metazoa	Chordata	None	GBBS.gz	GBBS01000001-GBBS01088785	88785	79906341	TSA	2013-08-01	2014-04-04	PRJNA78917	SAMN00767850	SRR391651
712	Maylandia zebra	Metazoa	Chordata	Actinopteri	GBBT.gz	GBBT01000001-GBBT01104699	104699	162982475	TSA	2013-08-01	2014-04-04	PRJNA77743	SAMN00760998	SRR385849
713	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBBU.gz	GBBU01000001-GBBU01118468	118468	174281226	TSA	2013-08-01	2014-04-04	PRJNA78915	SAMN00767857	SRR391685
714	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBBV.gz	GBBV01000001-GBBV01136101	136101	111170173	TSA	2013-08-01	2014-04-04	PRJNA77701	SAMN00760984	SRR385791
715	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBBW.gz	GBBW01000001-GBBW01105421	105421	81614190	TSA	2013-08-01	2014-04-04	PRJNA77701	SAMN00760980	SRR385787
716	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBBX.gz	GBBX01000001-GBBX01105278	105278	88944665	TSA	2013-08-01	2014-04-04	PRJNA78915	SAMN00767863	SRR391705
717	Spodoptera litura	Metazoa	Arthropoda	Insecta	GBBY.gz	GBBY01000001-GBBY01015900	15900	19614657	TSA	2014-04-02	2014-04-16	PRJNA232395	SAMN02442363	SRR1168420
718	Camellia sinensis	Viridiplantae	Streptophyta	None	GBBZ.gz	GBBZ01000001-GBBZ01049010	49010	25408232	TSA	2014-04-07	2014-04-28	PRJNA223181	SAMN02377821	SRR1013716
719	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCA.gz	GBCA01000001-GBCA01148799	148799	135404813	TSA	2013-08-01	2014-04-08	PRJNA78323	SAMN00013645	SRR388316
720	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBCB.gz	GBCB01000001-GBCB01132154	132154	127163952	TSA	2013-08-02	2014-04-08	PRJNA78823	SAMN00013501	SRR396741
721	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBCC.gz	GBCC01000001-GBCC01054692	54692	27515730	TSA	2013-08-01	2014-04-08	PRJNA78823	SAMN00991505	SRR494727
722	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCD.gz	GBCD01000001-GBCD01106208	106208	107481089	TSA	2013-08-01	2014-04-08	PRJNA78323	SAMN00013649	SRR388290
723	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBCE.gz	GBCE01000001-GBCE01188702	188702	216374991	TSA	2013-08-02	2014-04-08	PRJNA78823	SAMN00991506	SRR494728
724	Nitzschia sp. ChengR-2013	None	Bacillariophyta	Bacillariophyceae	GBCF.gz	GBCF01000001-GBCF01055201	55201	104786971	TSA	2014-04-08	2015-04-07	PRJNA243394	SAMN02716173	SRR1216776
725	Carduelis chloris	None	None	None	GBCG.gz	GBCG01000001-GBCG01066072	66072	39395826	TSA	2014-04-07	2014-04-25	PRJNA243125	SAMN02713507	SRR1210588
726	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCH.gz	GBCH01000001-GBCH01256336	256336	236286635	TSA	2013-08-01	2014-04-10	PRJNA78323	SAMN00013655	SRR388294
727	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCI.gz	GBCI01000001-GBCI01257911	257911	253039785	TSA	2013-08-01	2014-04-10	PRJNA78323	SAMN00013641	SRR388301
728	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCJ.gz	GBCJ01000001-GBCJ01343799	343799	319587224	TSA	2013-08-01	2014-04-10	PRJNA78323	SAMN00013654	SRR388305
729	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCK.gz	GBCK01000001-GBCK01349040	349040	312978010	TSA	2013-08-02	2014-04-11	PRJNA78323	SAMN00013650	SRR388292
730	Hypsizygus marmoreus	Fungi	Basidiomycota	Agaricomycetes	GBCL.gz	GBCL01000001-GBCL01040478	40478	43561440	TSA	2014-04-08	2014-04-15	PRJNA243117	SAMN02713490	SRR1210494
731	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCM.gz	GBCM01000001-GBCM01087468	87468	59204052	TSA	2013-08-01	2014-04-11	PRJNA78323	SAMN00013653	SRR388293
732	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCN.gz	GBCN01000001-GBCN01233558	233558	230903426	TSA	2013-08-01	2014-04-11	PRJNA78323	SAMN00013659	SRR388297
733	Neolamprologus brichardi	Metazoa	Chordata	Actinopteri	GBCO.gz	GBCO01000001-GBCO01201738	201738	150787756	TSA	2013-08-01	2014-04-11	PRJNA77747	SAMN00761007	SRR385866
734	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBCP.gz	GBCP01000001-GBCP01151652	151652	193314530	TSA	2013-08-01	2014-04-12	PRJNA78915	SAMN00767861	SRR391697
735	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBCQ.gz	GBCQ01000001-GBCQ01245868	245868	230566704	TSA	2013-08-02	2014-04-11	PRJNA78823	SAMN00013536	SRR396745
736	Dioscorea zingiberensis	Viridiplantae	Streptophyta	Liliopsida	GBCR.gz	GBCR01000001-GBCR01084952	84952	97040785	TSA	2014-03-31	2015-05-04	PRJNA243000	SAMN02711985	SRR1218151
737	Latrodectus hesperus	Metazoa	Arthropoda	Arachnida	GBCS.gz	GBCS01000001-GBCS01093119	93119	71819346	TSA	2014-04-10	2014-04-23	PRJNA242358	SAMN02708870	SRR1219650
738	Oryctolagus cuniculus	Metazoa	Chordata	Mammalia	GBCT.gz	GBCT01000001-GBCT01236783	236783	229722538	TSA	2013-08-01	2014-04-11	PRJNA78323	SAMN00013637	SRR388306
739	Aphidius ervi	Metazoa	Arthropoda	Insecta	GBCU.gz	GBCU01000001-GBCU01000020	20	19560	TSA	2014-01-14	2014-05-07	PRJNA235942	SAMN02592762	
740	Mangifera indica	Viridiplantae	Streptophyta	None	GBCV.gz	GBCV01000001-GBCV01057544	57544	49681799	TSA	2014-04-11	2014-04-22	PRJNA227243	SAMN02401016	SRR1027876
741	Agrotis segetum	Metazoa	Arthropoda	Insecta	GBCW.gz	GBCW01000001-GBCW01062115	62115	45484873	TSA	2014-04-11	2014-04-22	PRJNA244025	SAMN02721400	SRR1231960
742	Dastarcus helophoroides	Metazoa	Arthropoda	Insecta	GBCX.gz	GBCX01000001-GBCX01042172	42172	29035311	TSA	2014-04-03	2014-05-06	PRJNA242452	SAMN02689686	SRR1197680
743	Caulerpa taxifolia	Viridiplantae	Chlorophyta	Ulvophyceae	GBCY.gz	GBCY01000001-GBCY01077234	77234	62332548	TSA	2014-04-16	2015-01-29	PRJNA243973	SAMN02722707	SRR1228213
744	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBCZ.gz	GBCZ01000001-GBCZ01181428	181428	142919778	TSA	2013-08-01	2014-04-18	PRJNA77701	SAMN00760981	SRR385788
745	Aplysia californica	Metazoa	Mollusca	Gastropoda	GBDA.gz	GBDA01000001-GBDA01157989	157989	134670333	TSA	2013-08-01	2014-04-18	PRJNA77701	SAMN00760979	SRR385786
746	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBDB.gz	GBDB01000001-GBDB01075891	75891	72027809	TSA	2013-08-01	2014-04-18	PRJNA78915	SAMN00767859	SRR391688
747	Oreochromis niloticus	Metazoa	Chordata	Actinopteri	GBDC.gz	GBDC01000001-GBDC01150724	150724	186596607	TSA	2013-08-01	2014-04-18	PRJNA78915	SAMN00767856	SRR391683
748	Anolis carolinensis	Metazoa	Chordata	None	GBDD.gz	GBDD01000001-GBDD01074863	74863	72401486	TSA	2013-08-01	2014-04-18	PRJNA78917	SAMN00767849	SRR391650
749	Anolis carolinensis	Metazoa	Chordata	None	GBDE.gz	GBDE01000001-GBDE01271825	271825	236484934	TSA	2013-08-01	2014-04-21	PRJNA78917	SAMN00767851	SRR391654
750	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBDF.gz	GBDF01000001-GBDF01308433	308433	302410148	TSA	2013-08-02	2014-04-21	PRJNA78823	SAMN00013612	SRR396747
751	Maylandia zebra	Metazoa	Chordata	Actinopteri	GBDG.gz	GBDG01000001-GBDG01090837	90837	94306907	TSA	2013-08-01	2014-04-18	PRJNA77743	SAMN00760994	SRR385837
752	Haplochromis burtoni	Metazoa	Chordata	Actinopteri	GBDH.gz	GBDH01000001-GBDH01170926	170926	218705532	TSA	2013-08-01	2014-04-18	PRJNA78185	SAMN00761598	SRR387465
753	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBDI.gz	GBDI01000001-GBDI01387274	387274	518576978	TSA	2013-08-02	2014-04-23	PRJNA78823	SAMN00013656	SRR396751
754	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBDJ.gz	GBDJ01000001-GBDJ01424411	424411	492724073	TSA	2013-08-03	2014-04-22	PRJNA78823	SAMN00013603	SRR396754
755	Chinchilla lanigera	Metazoa	Chordata	Mammalia	GBDK.gz	GBDK01000001-GBDK01434289	434289	521677208	TSA	2013-08-02	2014-04-22	PRJNA78823	SAMN00013512	SRR396743
756	Haplochromis burtoni	Metazoa	Chordata	Actinopteri	GBDL.gz	GBDL01000001-GBDL01149621	149621	164227210	TSA	2013-08-01	2014-04-22	PRJNA78185	SAMN00761594	SRR387454
757	Helicoverpa armigera	Metazoa	Arthropoda	Insecta	GBDM.gz	GBDM01000001-GBDM01030110	30110	41444591	TSA	2014-04-23	2014-10-17	PRJNA244590	SAMN02727541	SRR1238087
758	Dahlia pinnata	Viridiplantae	Streptophyta	None	GBDN.gz	GBDN01000001-GBDN01035638	35638	41563451	TSA	2014-04-22	2014-05-02	PRJNA189243	SAMN02303576	SRR1222985
759	Kerria lacca	Metazoa	Arthropoda	Insecta	GBDO.gz	GBDO01000001-GBDO01056324	56324	79299319	TSA	2014-04-17	2014-06-16	PRJNA233434	SAMN02568965	SRR1104126
760	Kerria lacca	Metazoa	Arthropoda	Insecta	GBDP.gz	GBDP01000001-GBDP01055680	55680	92361614	TSA	2014-04-17	2014-06-16	PRJNA239151	SAMN02649608	SRR1174805
761	Petunia integrifolia subsp. inflata	Viridiplantae	Streptophyta	None	GBDQ.gz	GBDQ01000001-GBDQ01045432	45432	36355247	TSA	2014-04-22	2014-09-03	PRJNA244357	SAMN02725492	SRR1232301
762	Petunia integrifolia subsp. inflata	Viridiplantae	Streptophyta	None	GBDR.gz	GBDR01000001-GBDR01040928	40928	30710900	TSA	2014-04-22	2014-09-03	PRJNA244357	SAMN02725494	SRR1240437
763	Petunia integrifolia subsp. inflata	Viridiplantae	Streptophyta	None	GBDS.gz	GBDS01000001-GBDS01051610	51610	38708079	TSA	2014-04-22	2014-09-03	PRJNA244357	SAMN02725496	SRR1248284
764	Anolis carolinensis	Metazoa	Chordata	None	GBDT.gz	GBDT01000001-GBDT01081503	81503	102610091	TSA	2013-08-01	2014-04-24	PRJNA78917	SAMN00765497	SRR442638
765	Anolis carolinensis	Metazoa	Chordata	None	GBDU.gz	GBDU01000001-GBDU01080219	80219	102656018	TSA	2013-08-01	2014-04-24	PRJNA78917	SAMN00765499	SRR442641
766	Anolis carolinensis	Metazoa	Chordata	None	GBDV.gz	GBDV01000001-GBDV01203361	203361	235722963	TSA	2013-08-01	2014-04-24	PRJNA78917	SAMN00765500	SRR442639
767	Anolis carolinensis	Metazoa	Chordata	None	GBDW.gz	GBDW01000001-GBDW01154135	154135	149221613	TSA	2013-08-01	2014-04-25	PRJNA78917	SAMN00765498	SRR442643
768	Brassica rapa	Viridiplantae	Streptophyta	None	GBDX.gz	GBDX01000001-GBDX01032710	32710	47116860	TSA	2014-04-23	2015-06-01	PRJNA244166	SAMN02724777	SRR1227842
769	Kerria lacca	Metazoa	Arthropoda	Insecta	GBDY.gz	GBDY01000001-GBDY01041611	41611	53782308	TSA	2014-04-18	2014-06-16	PRJNA239395	SAMN02665303	SRR1176880
770	Locusta migratoria manilensis	Metazoa	Arthropoda	Insecta	GBDZ.gz	GBDZ01000001-GBDZ01103903	103903	62637143	TSA	2014-04-25	2015-01-14	PRJNA241358	SAMN02689438	SRR1194942
771	Nicotiana tabacum	Viridiplantae	Streptophyta	None	GBEA.gz	GBEA01000001-GBEA01097921	97921	63966611	TSA	2014-04-27	2015-05-26	PRJNA245117	SAMN02732167	SRR1258875
772	Nasonia vitripennis	Metazoa	Arthropoda	Insecta	GBEB.gz	GBEB01000001-GBEB01030223	30223	102421916	TSA	2014-03-13	2015-05-05	PRJNA240970	SAMN02687583	SRR1262366
773	Nasonia giraulti	Metazoa	Arthropoda	Insecta	GBEC.gz	GBEC01000001-GBEC01029641	29641	101871380	TSA	2014-03-13	2015-04-29	PRJNA241010	SAMN02687895	SRR1264518
774	Pyrus pyrifolia	Viridiplantae	Streptophyta	None	GBED.gz	GBED01000001-GBED01002661	2661	3174877	TSA	2014-04-27	2014-05-09	PRJNA245398	SAMN02737232	SRR1265058
775	Schmidtea mediterranea	Metazoa	Platyhelminthes	None	GBEE.gz	GBEE01000001-GBEE01063422	63422	48020700	TSA	2014-04-29	2014-05-09	PRJNA241456	SAMN02690670	SRR1208934
776	Solanum melongena	Viridiplantae	Streptophyta	None	GBEF.gz	GBEF01000001-GBEF01044641	44641	40642033	TSA	2014-05-04	2014-06-04	PRJNA233637	SAMN02570259	SRR1104129
777	Solanum torvum	Viridiplantae	Streptophyta	None	GBEG.gz	GBEG01000001-GBEG01053571	53571	49495750	TSA	2014-05-04	2014-06-04	PRJNA233637	SAMN02570258	SRR1104128
778	Podocoryna carnea	Metazoa	Cnidaria	Hydrozoa	GBEH.gz	GBEH01000001-GBEH01185093	185093	158080373	TSA	2014-05-02	2015-05-05	PRJNA245897	SAMN02741408	SRR1266262
779	Pontastacus leptodactylus	None	None	None	GBEI.gz	GBEI01000001-GBEI01106362	106362	82844323	TSA	2014-05-02	2015-05-05	PRJNA183420	SAMN02738958	SRR1258878
780	Agaricus subrufescens	Fungi	Basidiomycota	Agaricomycetes	GBEJ.gz	GBEJ01000001-GBEJ01010106	10106	6819299	TSA	2014-05-05	2014-06-03	PRJNA213171	SAMN02261760	SRR942633
781	Mesostigma viride	Viridiplantae	Streptophyta	Mesostigmatophyceae	GBEK.gz	GBEK01000001-GBEK01049323	49323	40230640	TSA	2014-05-02	2016-05-02	PRJNA245218	SAMN02732397	SRR1260996
782	Ichthyomyzon fossor	Metazoa	Chordata	None	GBEL.gz	GBEL01000001-GBEL01000003	3	7683	TSA	2014-07-09	2014-09-18	PRJNA243927	SAMN02715807	SRR1267122
783	Ichthyomyzon castaneus	Metazoa	Chordata	None	GBEM.gz	GBEM01000001-GBEM01000003	3	2587	TSA	2014-07-16	2014-09-18	PRJNA243925	SAMN02715808	SRR1266878
784	Elodea nuttallii	Viridiplantae	Streptophyta	Liliopsida	GBEN.gz	GBEN01000001-GBEN01166967	166967	157337980	TSA	2014-05-01	2014-06-09	PRJNA245505	SAMN02738925	ERR498040
785	Anopheles sinensis	Metazoa	Arthropoda	Insecta	GBEO.gz	GBEO01000001-GBEO01038463	38463	21959904	TSA	2014-05-07	2014-06-16	PRJNA196809	SAMN02044400	SRR851144
786	Brassica juncea	Viridiplantae	Streptophyta	None	GBEP.gz	GBEP01000001-GBEP01077003	77003	34745250	TSA	2014-05-07	2016-12-07	PRJNA245462	SAMN02738248	SRR1265953
787	Brassica juncea	Viridiplantae	Streptophyta	None	GBEQ.gz	GBEQ01000001-GBEQ01076454	76454	34081017	TSA	2014-05-08	2016-12-07	PRJNA245462	SAMN02741811	SRR1269499
788	Euschistus heros	Metazoa	Arthropoda	Insecta	GBER.gz	GBER01000001-GBER01019520	19520	11835760	TSA	2014-05-08	2014-06-19	PRJNA246125	SAMN02743531	SRR1274839
789	Dichelops melacanthus	Metazoa	Arthropoda	Insecta	GBES.gz	GBES01000001-GBES01008684	8684	4256207	TSA	2014-05-08	2014-06-19	PRJNA246259	SAMN02746137	SRR1274853
790	Pelophylax nigromaculatus	Metazoa	Chordata	Amphibia	GBET.gz	GBET01000001-GBET01000021	21	16791	TSA	2014-05-07	2014-06-16	PRJNA242590	SAMN02699083	SRR1269553
791	Telenomus podisi	Metazoa	Arthropoda	Insecta	GBEU.gz	GBEU01000001-GBEU01051106	51106	55027228	TSA	2014-05-11	2014-06-19	PRJNA246261	SAMN02746150	SRR1274857
792	Procambarus clarkii	Metazoa	Arthropoda	Malacostraca	GBEV.gz	GBEV01000001-GBEV01254561	254561	159968211	TSA	2014-05-10	2014-11-05	PRJNA205889	SAMN02743424	SRR870673
793	Micrurus fulvius	Metazoa	Chordata	None	GBEW.gz	GBEW01000001-GBEW01001377	1377	1803265	TSA	2014-05-09	2015-05-07	PRJNA88989	SAMN01830718	SRR630454
794	Crotalus adamanteus	Metazoa	Chordata	None	GBEX.gz	GBEX01000001-GBEX01004195	4195	9371420	TSA	2014-05-09	2015-05-07	PRJNA88989	SAMN00809015	SRR441163
795	Bactrocera minax	Metazoa	Arthropoda	Insecta	GBEY.gz	GBEY01000001-GBEY01033324	33324	30272977	TSA	2014-05-12	2015-05-11	PRJNA246133	SAMN02743534	SRR1272962
796	Tetraselmis sp. GSL018	Viridiplantae	Chlorophyta	Chlorodendrophyceae	GBEZ.gz	GBEZ01000001-GBEZ01028049	28049	40853887	TSA	2014-05-15	2014-06-12	PRJNA245816	SAMN02729510	SRR1264963
797	Chinavia ubica	Metazoa	Arthropoda	Insecta	GBFA.gz	GBFA01000001-GBFA01041529	41529	24165131	TSA	2014-05-15	2014-06-19	PRJNA246250	SAMN02744791	SRR1274841
798	Calanus finmarchicus	Metazoa	Arthropoda	Maxillopoda	GBFB.gz	GBFB01000001-GBFB01241140	241140	160760719	TSA	2014-05-16	2014-06-05	PRJNA231164	SAMN02441826	SRR1047775
799	Cupiennius salei	Metazoa	Arthropoda	Arachnida	GBFC.gz	GBFC01000001-GBFC01000102	102	250721	TSA	2014-05-13	2014-06-05	PRJNA205071	SAMN02189690	SRR880446
800	Hydra oligactis	Metazoa	Cnidaria	Hydrozoa	GBFD.gz	GBFD01000001-GBFD01028226	28226	20296221	TSA	2014-05-19	2014-06-24	PRJNA242705	SAMN02700548	SRR1205236
801	Locusta migratoria	Metazoa	Arthropoda	Insecta	GBFE.gz	GBFE01000001-GBFE01005233	5233	4604809	TSA	2014-05-20	2016-05-03	PRJNA245374	SAMN02737055	SRR1262364
802	Conus sanguinolentus	Metazoa	Mollusca	Gastropoda	GBFF.gz	GBFF01000001-GBFF01000005	5	1038	TSA	2014-05-20	2014-06-05	PRJNA246256	SAMN02746136	
803	Conus sanguinolentus	Metazoa	Mollusca	Gastropoda	GBFG.gz	GBFG01000001-GBFG01000007	7	1682	TSA	2014-05-20	2014-06-05	PRJNA246256	SAMN02746135	
804	Conus lividus	Metazoa	Mollusca	Gastropoda	GBFH.gz	GBFH01000001-GBFH01000034	34	7448	TSA	2014-05-20	2014-06-05	PRJNA246256	SAMN02746134	
805	Conus lividus	Metazoa	Mollusca	Gastropoda	GBFI.gz	GBFI01000001-GBFI01000017	17	3591	TSA	2014-05-20	2014-06-05	PRJNA246256	SAMN02746133	
806	Conus sp. n. 1 NP-2014	Metazoa	Mollusca	Gastropoda	GBFJ.gz	GBFJ01000001-GBFJ01000021	21	4629	TSA	2014-05-20	2014-06-05	PRJNA246256	SAMN02746132	
807	Conus sp. n. 1 NP-2014	Metazoa	Mollusca	Gastropoda	GBFK.gz	GBFK01000001-GBFK01000004	4	774	TSA	2014-05-20	2014-06-16	PRJNA246256	SAMN02746121	
808	Vaccinium macrocarpon	Viridiplantae	Streptophyta	None	GBFL.gz	GBFL01000001-GBFL01048270	48270	33379313	TSA	2014-05-21	2014-06-09	PRJNA246586	SAMN02739898	SRR1282422
809	Micropterus floridanus	Metazoa	Chordata	Actinopteri	GBFM.gz	GBFM01000001-GBFM01164417	164417	163252690	TSA	2014-05-22	2014-12-12	PRJNA248150	SAMN02787188	SRR1292394
810	Paeonia lactiflora	Viridiplantae	Streptophyta	None	GBFN.gz	GBFN01000001-GBFN01051481	51481	64413725	TSA	2014-05-23	2015-03-25	PRJNA245064	SAMN02731429	SRR1258112
811	Micropterus salmoides	Metazoa	Chordata	Actinopteri	GBFO.gz	GBFO01000001-GBFO01121819	121819	124295732	TSA	2014-05-23	2014-12-11	PRJNA248433	SAMN02798507	SRR1297206
812	marine metagenome	None	None	None	GBFP.gz	GBFP01000001-GBFP01167169	167169	136502473	TSA	2014-05-23	2014-06-10	PRJNA241185	SAMN02768558	SRR1282410
813	Oryzias melastigma	Metazoa	Chordata	Actinopteri	GBFQ.gz	GBFQ01000001-GBFQ01051515	51515	39993655	TSA	2014-05-26	2015-03-12	PRJNA246584	SAMN02768383	SRR1281994
814	Oryzias melastigma	Metazoa	Chordata	Actinopteri	GBFR.gz	GBFR01000001-GBFR01054342	54342	51171978	TSA	2014-05-26	2015-03-12	PRJNA246584	SAMN02768384	SRR1281997
815	Oryzias melastigma	Metazoa	Chordata	Actinopteri	GBFS.gz	GBFS01000001-GBFS01066755	66755	69457421	TSA	2014-05-26	2015-03-12	PRJNA246584	SAMN02768383	SRR1281994
